run,task_id,seed,cv,result_dir,Dcyt,PLK1a_frac,kcatCPC,KmCPC,kbind,KdpH3,kcisCPC,KdNDC80TTK,phiNDC80,KdNDC80pTTK,kcisTTK,kcatTTK,KmTTK,TTKa_frac,KdSgo1,kcatPLK1,KmPLK1,KdpH2ASgo1,KdH3,alpha,Da,kcatH2AH3,I_arms,I_cent,CPC_copiespc,NDC80_copiespc,KNL1_copiespc,BUB1_copiespc,SGO1_copiespc,TTK_copiespc,HASPIN_copiespc,PLK1_copiespc,nucleosome_acces,kcatH3,kcatCPCsub,KmCPCsub,kppCPC,kcatTTKsub,kmTTKsub,CPCa_frac,alpha_kt,Da_kt,KmH2AH3,kpp_ref,kcatplk1,Kmplk1,kppKT_ref,KmH3
0,0,972462,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run0_brcd972462,1.2905268324009544,0.0920473284222863,0.0195569440032333,84.5106497244926,0.2040224486359173,0.0877154892207401,1.0905087565840661e-07,6.835887380968783,0.1022682948496176,0.2199245957176766,4.473934652526769e-05,1.4446308615923442,60.73505862850824,0.0978580879266684,0.0491273587619113,12.296735366661997,75.56042085486831,0.1097829636216606,0.3315427133244475,0.548455972235024,0.0010271799397686,1.5106291715833349,0.6879476139359092,0.0927177779534707,349035.52843011694,325546.51266623294,171700.9971952324,356138.0145205019,461512.63460688415,132520.75438993113,108535.59697362703,1527732.2357153113,0.1383910691526681,0.4355513787369107,0.7564614521792153,23.64731086738605,0.0005984993799433,0.0408376150896143,23.717976286854917,0.5188044658172171,0.5726102646906556,0.0009264399181656,12.63943715981369,0.0105226536760116,1.0099569728219553,75.75942425400054,0.010731824347027,2.5268075316579317
1,0,527152,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run1_brcd527152,0.8769960725332563,0.0844214850184822,0.017305796580436,79.8391516848998,0.1887482099427276,0.0794347021581819,9.254731719344607e-08,7.357350796489938,0.0874681425423706,0.198393213040786,4.871083240491207e-05,1.5106371846185385,50.6827279386445,0.1151664718153065,0.0505253237120174,12.827535972590605,79.32789195164041,0.1154629893195361,0.3427751911026242,0.5213226075430465,0.0011478889395687,1.7401679018113074,0.695713702916982,0.1142623739730272,361904.9226171885,274585.6677214648,153395.0924613448,313535.02939394064,462514.96304785495,160434.16868309813,100400.07970293428,1326962.543342319,0.1484054943674202,0.3834615082822695,0.701682778499363,24.41498505505381,0.0007207446346465,0.0380457299593483,19.909853285081223,0.7193732326505277,0.4951289112650234,0.0009496512980612,10.282320887970627,0.0116824758630535,1.499651424311406,78.27265775583933,0.009075520706329,2.1656093441551123
2,0,283399,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run2_brcd283399,1.2376155826382684,0.1176745375011181,0.0183425364835801,75.982249656069,0.2246047232747601,0.0904954519579217,9.474496137054221e-08,7.867997591291642,0.1094647975538678,0.2123375909757108,4.8357798500927554e-05,1.6991164335273432,56.55084382528692,0.1050305210527235,0.0519905406461116,11.81767124656591,75.70769413364668,0.0938996097017761,0.3810022443789461,0.5098612317255942,0.0009124537899067,1.9869492348277629,0.5146535648130894,0.08211587992157,359359.01874329767,293682.6074225593,159285.4622264091,294536.2499366664,416596.0423875106,141318.42132291815,107743.43079762351,1380727.1810647282,0.1594967783067932,0.4898034414238637,0.62526062446359,21.78360659077903,0.000697198771673,0.0291284349183534,17.87855603573237,0.5789912744824259,0.518703512295976,0.0011180821902186,11.275685530489918,0.0104179344044814,1.220136517394505,62.80249607758035,0.0104999964764298,2.282894271398248
3,0,315389,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run3_brcd315389,1.1607239986769662,0.1083888827854286,0.0216753933451372,78.92203399983951,0.2103737785008141,0.0914743119981363,9.505624004958533e-08,7.81681803968041,0.1081117681493225,0.2261479201196589,4.648639037891312e-05,1.7914940732673332,60.333760269157416,0.092700010236775,0.0509221248084345,12.063842613369602,74.3632383850402,0.0885717305472695,0.4422471572556868,0.4961829269763055,0.0011313438710654,1.7284241241582257,0.6209442172591214,0.1021220227818517,537456.2302995725,282786.49243854504,144876.3944363585,408893.4606481564,602312.7585679599,122178.73325048602,94506.5801867385,1521857.428175151,0.1621315379590846,0.5218839819889904,0.7197469596503894,19.7834807367001,0.0006445128808525,0.0420139694547619,19.236298853897846,0.7398060885587873,0.4662010230588598,0.0009432126042524,10.307820105771984,0.0091858618026072,1.2932402356217478,71.20673925504565,0.0099452720813802,3.1028151895514133
4,0,70705,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run4_brcd70705,0.8854938293726009,0.076438332396564,0.0207952255205883,80.95019139756516,0.2302582300451094,0.100907932230399,1.2548849352355613e-07,9.294879183250552,0.1088881386864958,0.2492254764247175,3.9730000403353485e-05,1.3389945241094825,54.90652794272562,0.0882840589495825,0.05852671739858,10.355563010040472,85.38213138997178,0.1090371847685642,0.4009357784915226,0.4125659534224521,0.00100919123155,1.5194182332587396,0.5717786131316507,0.0907157690806741,347252.0159357581,288501.96309827315,152634.7915768281,319474.03805521573,393893.2822487793,125985.76246364636,108458.5146305588,1675012.0161061715,0.1751226103191913,0.4791532165169225,0.6648309034170614,23.904420281064404,0.0005496404991887,0.0343670897593849,19.06050209162829,0.5540212971545972,0.4425764114077292,0.0010432926366675,9.602481923946607,0.0113001033459866,1.5740509795995117,78.8800088295556,0.0096988332119709,2.3559191895271163
5,0,843441,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run5_brcd843441,0.9037669077524336,0.0973810994987045,0.0190524473226464,76.60805663516734,0.2101948367329141,0.1003108319307054,1.095533522995901e-07,8.9239632266453,0.0955003770404435,0.1508222788626508,5.545107025049683e-05,1.8131684616149653,55.79902146345498,0.0929898902463167,0.0558040721419719,13.30501043308158,72.30011954348232,0.107467715075069,0.3743304962220541,0.4658151161454212,0.0009910612976215,1.4660512920221576,0.6883823068313433,0.101532707854069,325639.4679621143,263593.9201291694,128692.84399364475,337835.5487990385,464206.5392183377,152970.98148570533,108436.4246214028,1256935.3718759113,0.1282504367439277,0.5114882301359724,0.6851453480665679,24.26542223340051,0.0006239030432436,0.035738443700615,17.253545029285473,0.5642571830810018,0.6140531135163629,0.0010447210522651,9.98715806347318,0.0103875415156124,1.4597767548852596,74.826331398769,0.0111910553270204,2.593980791529487
6,0,289931,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run6_brcd289931,1.0365301232468351,0.0785720965771888,0.02477364084874,80.12561645643565,0.2141911995441533,0.100369024174685,1.1985262677956754e-07,8.908865706298236,0.0894204984356808,0.1939495054287143,5.416020084438383e-05,1.7655609725840415,52.20267344051832,0.1135344262062069,0.062595817156445,11.50478410110508,71.34654094134164,0.1042193367418874,0.4120807810162385,0.4886159031523988,0.0009722307009124,1.5142168110801917,0.62060131824045,0.1075670270709142,415192.2881196641,298742.4579510793,165457.52465151434,331179.2616854181,473688.389495839,132949.85561244818,114529.5012847666,1423915.0302150312,0.1346416788292337,0.4424767769856854,0.683635445448914,20.60359095043725,0.0007259208523623,0.037338441775142,20.437138003123987,0.6006465811516706,0.4627010615388651,0.0010457830858926,13.718802077146218,0.0085956082017751,1.4461493052612795,78.32246331965625,0.0104732116045089,2.662124416841077
7,0,648342,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run7_brcd648342,0.9545823721029748,0.1162837572039637,0.0193779908109931,72.3869797157486,0.1826262424362255,0.0894626288390905,1.0617989660156843e-07,9.267478688143312,0.0945306598902091,0.1848833125729854,5.8913957223547934e-05,1.440258927038293,48.14057317626582,0.0920925134637011,0.0524706171106103,10.851157615896732,85.34951990755607,0.1032512570318629,0.382465196449402,0.4532981871021658,0.0010479607021337,1.7273987782935083,0.7088794688928823,0.0832015599725841,405434.5897264263,293140.5905903308,158720.61219183498,330634.80412158347,433679.2339869844,126458.96650863734,101010.0471890637,1254182.2836839063,0.1538444363150731,0.4020970896391146,0.8244805978438519,27.364099566463004,0.0006056476652627,0.0285034711366031,23.530435229817183,0.5358168767827767,0.4390043100888804,0.0011327392708726,11.603086350955362,0.0091021057869558,1.4585008127089245,97.2457838897741,0.010519583275302,2.389850683045469
8,0,640082,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run8_brcd640082,1.1820776919010665,0.1014697481018458,0.0214325111864277,103.32716971931288,0.2247479926718224,0.0710401665706076,1.1465548781636557e-07,10.2042409840977,0.0966134979246861,0.2057839354800111,5.501984842802643e-05,1.5787870380985218,48.46026800263337,0.0960989140701069,0.0510594394554662,12.162010501659053,74.60958151354396,0.1079018545106795,0.3958666064382273,0.5015378602091382,0.000876096257561,1.681843847882137,0.6114136122325328,0.0993250036711056,363713.9768391232,250888.64934488115,147571.90454411195,344094.51260924846,480204.6086783839,149769.32309195126,104264.55211609937,1298460.3125448902,0.1682115021366476,0.4643145547978312,0.6647619548386705,21.487773441773196,0.0005977148094012,0.0345920250111235,22.39342727426724,0.6002804047561684,0.4989260218274639,0.0008689070785348,10.28668929224786,0.0094676148845508,1.3228686402108083,80.0395986880512,0.0105922750872298,2.6188315822128367
9,0,642946,0.1,/sfs/gpfs/tardis/home/aca9pw/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run9_brcd642946,0.9280294978956832,0.1031166153885844,0.0200622587696357,79.31669156976396,0.192381584417133,0.0878002221907306,1.0319229023116126e-07,7.913446785522324,0.1040311079633334,0.2036790817586073,5.024789007131162e-05,1.6267168342998777,51.40451913182904,0.0809357933344416,0.0577135468634926,12.30978418999179,95.21006964478735,0.0968036322156358,0.3657986585897731,0.4785174933239208,0.0010547228293753,1.9597388388507768,0.6033422342789143,0.091264330004936,433051.4919941059,309133.6517400859,153968.2345228804,383757.70404191647,519735.8889256616,147546.7899972997,110186.26031966109,1202075.9634446118,0.1712245409857943,0.4099505953845528,0.6690755444088575,23.837364373827363,0.0007845865335027,0.0307118222925519,15.772162493129338,0.5986519640293994,0.5075643968236451,0.0009478672755887,12.314473991132289,0.0090211493231825,1.5038744611559802,79.2369898925346,0.0095284829028383,2.5358324822616063
